X[m]	Nd[m^-3]	ux[m/s]	uy[m/s]	uz[m/s]	u2x[(m/s)^2]	u2y[(m/s)^2]	u2z[(m/s)^2]	Ttrx[K]	Ttry[K]	Ttrz[K]	Ttr[K]
6.90347e-05	3.61949e+24	-10.0084	-0.333831	27.4408	63339.5	66267.8	73417.7	268.126	288.376	314.354	290.285
6.91794e-05	3.82109e+24	-11.6658	-5.79878	-16.2443	56519.4	60543.2	58586	243.492	263.896	248.181	251.856
6.93241e-05	3.56452e+24	-1.05187	-14.4203	1.5618	54356.4	70201.7	62880.4	229.349	293.677	265.697	262.908
6.94689e-05	3.54619e+24	0.463551	0.864213	1.74529	65934.9	69172.6	60209.4	279.574	292.468	256.877	276.306
6.96136e-05	3.48205e+24	5.9405	36.4014	-20.2699	60985.2	65755.9	61310	252.074	283.1	257.538	264.237
6.97583e-05	3.61949e+24	18.7136	17.0479	10.4782	64771.9	55412.3	64726.9	265.048	237.616	281.168	261.277
6.9903e-05	3.37209e+24	4.79358	-12.471	-23.4509	65795.7	75420.1	61499.8	281.37	313.832	253.097	282.766
7.00478e-05	4.11431e+24	20.3973	14.9955	-7.10975	64007.9	66729.6	65046.3	273.037	276.162	278.687	275.962
7.01925e-05	3.53703e+24	-1.02368	3.8884	-5.8585	67098.6	59930.9	57547	285.908	254.905	239.821	260.211
7.03372e-05	3.22547e+24	5.41341	-5.34737	1.09007	55540.8	58636.7	55834.3	227.786	245.713	220.309	231.269
7.04819e-05	3.39958e+24	6.30388	-4.41202	-27.5156	58855.3	56080.8	59303.9	235.295	229.81	220.027	228.378
7.06267e-05	3.76611e+24	-10.883	11.2761	12.7038	67022.2	62379	62804.5	280.612	279.228	254.513	271.451
7.07714e-05	3.52786e+24	13.6167	24.291	-16.6851	62029.1	64544.4	63935.8	264.789	255.977	263.595	261.454
7.09161e-05	3.65615e+24	-10.3422	-9.11389	12.8189	62210.1	60053.1	54007.7	263.423	251.171	225.99	246.861
7.10608e-05	3.81192e+24	-5.53211	-7.15467	-27.8632	61860.5	60389.1	57180.8	263.434	270.623	237.347	257.135
7.12056e-05	3.68364e+24	7.67676	-16.2196	-29.7582	58028.5	62022.5	55279.3	239.809	270.944	227.133	245.962
7.13503e-05	3.53703e+24	32.4548	17.1909	19.1206	71071.3	69249.9	62547.7	235.042	259.173	237.453	243.89
7.1495e-05	3.45456e+24	17.6351	9.45666	-8.26029	69126.8	57784.1	60259.8	290.948	255.497	260.286	268.91
7.16398e-05	3.66531e+24	2.74015	20.3922	-5.20125	67111.4	63896.5	63507.6	288.216	276.238	268.862	277.772
7.17845e-05	3.56452e+24	-7.85622	6.73308	-2.18275	61856	60505.5	52239.9	255.985	262.066	235.426	251.159
7.19292e-05	3.54619e+24	20.3249	-13.1038	5.9864	57154.9	66533.6	71995.2	249.741	282.915	292.413	275.023
7.20739e-05	3.77527e+24	-26.0301	1.4469	-0.882262	59434.2	52942.5	71104.7	250.659	229.992	309.853	263.501
7.22187e-05	3.83025e+24	11.7115	-0.246665	-2.60798	58640.2	62618.5	63014.6	258.38	275.362	266.9	266.881
7.23634e-05	3.47288e+24	-17.8574	6.75398	-7.50496	58219.2	59244.6	65519.4	255.689	262.376	288.729	268.931
7.25081e-05	3.60117e+24	2.35157	4.17593	-17.1782	65501.7	53782.7	74342.6	264.828	230.159	312.255	269.08
7.26528e-05	3.64698e+24	0.345877	-30.1545	-13.4625	70982.8	58431.4	60344.4	314.2	245.694	260.382	273.425
7.27976e-05	3.67447e+24	-19.8799	4.59363	15.8749	67356.3	64482.8	61786.8	279.559	254.373	261.101	265.011
7.29423e-05	3.54619e+24	-15.7417	6.36874	12.3529	70046.5	59339	58180.6	291.929	254.524	255.086	267.18
7.3087e-05	3.75694e+24	-3.51204	-26.1131	12.0932	51806.6	66585.3	56814.6	219.624	265.782	249.352	244.919
7.32317e-05	3.4179e+24	-10.7072	9.7803	-8.19575	67385.2	68442.6	62222.5	273.43	291.101	267.072	277.201
7.33765e-05	3.54619e+24	-9.70176	4.49676	19.114	63266.5	60702.5	58328.9	264.513	264.098	254.19	260.933
7.35212e-05	3.31711e+24	2.7604	13.3311	8.99173	53345.4	54674.6	54982	232.254	231.089	240.199	234.514
7.36659e-05	3.84858e+24	4.10289	-3.6106	19.0894	65618.4	72369.2	63023	281.676	308.185	264.178	284.68
7.38107e-05	3.55535e+24	0.711015	-4.14265	-12.2858	55946.4	57757.7	55616.4	242.969	243.027	235.074	240.357
7.39554e-05	4.02268e+24	0.920573	18.1901	-14.8709	67777.7	58056	54493.6	292.097	253.522	241.809	262.476
7.41001e-05	3.62866e+24	-8.33476	1.06371	-7.63405	59510.5	57897.3	59420.6	252.555	238.577	260.951	250.695
7.42448e-05	3.90356e+24	11.8647	8.60183	-6.17702	78650.3	61333.5	53433.6	339.743	256.922	235.49	277.385
7.43896e-05	3.50037e+24	-10.5716	20.9674	-13.8982	55535.6	66037.4	55642.8	226.598	284.466	228.733	246.599
7.45343e-05	3.36292e+24	-14.0991	3.16315	-9.19846	66518.5	58371.8	59970.2	264.683	240.05	245.087	249.94
7.4679e-05	3.78443e+24	11.7852	-19.6897	9.8412	53033.8	63354.7	62927.7	233.058	261.353	268.457	254.29
7.48237e-05	3.56452e+24	4.37449	1.31132	5.15875	54244.8	53959.5	57804.7	238.523	223.984	246.588	236.365
7.49685e-05	3.68364e+24	3.43521	-19.4073	-11.0519	59302.2	54841.9	55573.6	257.773	236.915	238.034	244.241
7.51132e-05	3.6928e+24	6.75882	-7.16152	-9.61397	58294.5	52148.9	54556.5	264.769	213.805	221.984	233.519
7.52579e-05	3.87607e+24	16.4551	2.26024	-12.5359	63523.2	65004.1	50935.9	279.553	287.42	221.106	262.693
